date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:51	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:50%20GMT	https://azure.microsoft.com/dest/bundles/utils/log.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/log.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:52	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:51%20GMT	https://azure.microsoft.com/dest/bundles/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:53	149/149	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:52%20GMT	https://azure.microsoft.com/dest/bundles/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:54	151/151	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:53%20GMT	https://azure.microsoft.com/dest/bundles/utils/guid.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/guid.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:55	153/153	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:54%20GMT	https://azure.microsoft.com/dest/bundles/utils/events.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/events.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:56	150/150	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:55%20GMT	https://azure.microsoft.com/dest/bundles/utils/log.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/log.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:57	160/160	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:56%20GMT	https://azure.microsoft.com/dest/bundles/utils/to-title-case.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/to-title-case.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:58	160/160	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:57%20GMT	https://azure.microsoft.com/dest/bundles/utils/merge-options.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/merge-options.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:59	154/154	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:58%20GMT	https://azure.microsoft.com/dest/bundles/utils/browser.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/utils/browser.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:00	145/145	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:59%20GMT	https://azure.microsoft.com/dest/track-button.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/track-button.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:01	137/137	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:00%20GMT	https://azure.microsoft.com/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:02	136/136	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:01%20GMT	https://azure.microsoft.com/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:03	162/162	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:02%20GMT	https://azure.microsoft.com/dest/bundles/audio-track-menu-item.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/audio-track-menu-item.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:04	142/142	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:03%20GMT	https://azure.microsoft.com/menu/menu-item.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/menu/menu-item.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:05	137/137	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:04%20GMT	https://azure.microsoft.com/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:06	136/136	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:05%20GMT	https://azure.microsoft.com/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:07	142/142	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:06%20GMT	https://azure.microsoft.com/dest/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:08	152/152	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:07%20GMT	https://azure.microsoft.com/dest/bundles/play-toggle.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/play-toggle.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:47:09	175/175	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:47:08%20GMT	https://azure.microsoft.com/dest/bundles/time-controls/current-time-display.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/bundles/time-controls/current-time-display.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
